2026-07-20T15:05:37 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=1 run_id=R000047
2026-07-20T15:05:37 | INFO     | executor | Starting run_id=R000047 test_id=T001 scenario_id=S001 attempt=1
2026-07-20T15:05:38 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=1 returned 'crash'; will retry.
2026-07-20T15:05:48 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=2 run_id=R000048
2026-07-20T15:05:48 | INFO     | executor | Starting run_id=R000048 test_id=T001 scenario_id=S001 attempt=2
2026-07-20T15:05:50 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=2 returned 'crash'; will retry.
2026-07-20T15:06:00 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=3 run_id=R000049
2026-07-20T15:06:00 | INFO     | executor | Starting run_id=R000049 test_id=T001 scenario_id=S001 attempt=3
2026-07-20T15:06:02 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=3 returned 'crash'; will retry.
2026-07-20T15:06:12 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=4 run_id=R000050
2026-07-20T15:06:12 | INFO     | executor | Starting run_id=R000050 test_id=T001 scenario_id=S001 attempt=4
2026-07-20T15:06:14 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=4 returned 'crash'; will retry.
2026-07-20T15:06:21 | WARNING  | run_pipeline | Pipeline interrupted by user. Progress has been saved; re-run to resume.
2026-07-20T15:06:34 | INFO     | run_pipeline | GreenAeroTest pilot pipeline starting.
2026-07-20T15:06:34 | INFO     | run_pipeline | Project root: C:\Users\Home 12\Music\Test-scenarios
2026-07-20T15:06:34 | INFO     | run_pipeline | FlightGear executable: C:\Program Files\FlightGear 2020.3\bin\fgfs.exe
2026-07-20T15:06:34 | INFO     | run_pipeline | Plan: 5 scenarios x 10 repetitions = 50 total runs.
2026-07-20T15:06:34 | INFO     | experiment_runner | Starting pilot execution: 5 scenarios x 10 repetitions = 50 planned runs (0 already completed, resuming).
2026-07-20T15:06:34 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=1 run_id=R000051
2026-07-20T15:06:34 | INFO     | executor | Starting run_id=R000051 test_id=T001 scenario_id=S001 attempt=1
2026-07-20T15:06:35 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=1 returned 'crash'; will retry.
2026-07-20T15:06:45 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=2 run_id=R000052
2026-07-20T15:06:46 | INFO     | executor | Starting run_id=R000052 test_id=T001 scenario_id=S001 attempt=2
2026-07-20T15:06:47 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=2 returned 'crash'; will retry.
2026-07-20T15:06:57 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=3 run_id=R000053
2026-07-20T15:06:57 | INFO     | executor | Starting run_id=R000053 test_id=T001 scenario_id=S001 attempt=3
2026-07-20T15:06:59 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=3 returned 'crash'; will retry.
2026-07-20T15:07:09 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=4 run_id=R000054
2026-07-20T15:07:09 | INFO     | executor | Starting run_id=R000054 test_id=T001 scenario_id=S001 attempt=4
2026-07-20T15:07:11 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=4 returned 'crash'; will retry.
2026-07-20T15:07:21 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=5 run_id=R000055
2026-07-20T15:07:21 | INFO     | executor | Starting run_id=R000055 test_id=T001 scenario_id=S001 attempt=5
2026-07-20T15:07:22 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=5 returned 'crash'; will retry.
2026-07-20T15:07:32 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=6 run_id=R000056
2026-07-20T15:07:32 | INFO     | executor | Starting run_id=R000056 test_id=T001 scenario_id=S001 attempt=6
2026-07-20T15:07:34 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=6 returned 'crash'; will retry.
2026-07-20T15:07:44 | INFO     | experiment_runner | Executing scenario=S001 run_no=1 attempt_no=7 run_id=R000057
2026-07-20T15:07:44 | INFO     | executor | Starting run_id=R000057 test_id=T001 scenario_id=S001 attempt=7
2026-07-20T15:07:45 | WARNING  | experiment_runner | scenario=S001 run_no=1 attempt_no=7 returned 'crash'; will retry.
2026-07-20T15:07:52 | WARNING  | run_pipeline | Pipeline interrupted by user. Progress has been saved; re-run to resume.
2026-07-20T15:10:47 | INFO     | run_pipeline | GreenAeroTest pilot pipeline starting.
2026-07-20T15:10:47 | INFO     | run_pipeline | Project root: C:\Users\Home 12\Music\Test-scenarios
2026-07-20T15:10:47 | INFO     | run_pipeline | FlightGear executable: C:\Program Files\FlightGear 2024.1\bin\fgfs.exe
